日期,时间,PH值,水温,盐度,气压
2026-02-27,00:00,7.82,12.5,32.1,101.2
2026-02-27,01:00,7.85,12.3,32.0,101.3
2026-02-27,02:00,7.88,12.1,31.9,101.4
2026-02-27,03:00,7.90,11.9,31.8,101.5
2026-02-27,04:00,7.92,11.8,31.7,101.6
2026-02-27,05:00,7.95,11.6,31.6,101.7
2026-02-27,06:00,7.98,11.5,31.5,101.8
2026-02-27,07:00,8.01,11.7,31.6,101.9
2026-02-27,08:00,8.05,12.0,31.8,102.0
2026-02-27,09:00,8.08,12.4,32.0,102.1
2026-02-27,10:00,8.10,12.8,32.2,102.2
2026-02-27,11:00,8.12,13.2,32.4,102.3
2026-02-27,12:00,8.15,13.6,32.6,102.4
2026-02-27,13:00,8.12,13.8,32.7,102.3
2026-02-27,14:00,8.08,13.5,32.5,102.2
2026-02-27,15:00,8.05,13.2,32.3,102.1
2026-02-27,16:00,8.02,12.9,32.1,102.0
2026-02-27,17:00,7.98,12.6,31.9,101.9
2026-02-27,18:00,7.95,12.3,31.7,101.8
2026-02-27,19:00,7.92,12.0,31.5,101.7
2026-02-27,20:00,7.88,11.8,31.4,101.6
2026-02-27,21:00,7.85,11.6,31.3,101.5
2026-02-27,22:00,7.82,11.4,31.2,101.4
2026-02-27,23:00,7.80,11.2,31.1,101.3
2026-02-26,00:00,7.78,11.0,31.0,101.2
2026-02-26,06:00,7.92,11.4,31.4,101.6
2026-02-26,12:00,8.18,14.0,32.8,102.5
2026-02-26,18:00,7.98,12.5,32.0,101.9
2026-02-25,00:00,7.75,10.8,30.8,101.0
2026-02-25,06:00,7.88,11.2,31.2,101.4
2026-02-25,12:00,8.20,14.2,33.0,102.6
2026-02-25,18:00,8.00,12.8,32.2,102.0
2026-02-24,00:00,7.72,10.5,30.5,100.8
2026-02-24,06:00,7.85,11.0,31.0,101.2
2026-02-24,12:00,8.15,13.8,32.6,102.4
2026-02-24,18:00,7.95,12.2,31.8,101.8
2026-02-23,00:00,7.70,10.2,30.2,100.6
2026-02-23,06:00,7.82,10.8,30.8,101.0
2026-02-23,12:00,8.12,13.5,32.4,102.2
2026-02-23,18:00,7.92,12.0,31.6,101.6
